obs_id,station_id,station_name,climate_zone,latitude,longitude,elevation_m,timestamp,date,hour_of_day,month,day_of_week,is_weekend,season,temperature_c,feels_like_c,dew_point_c,humidity_pct,pressure_hpa,wind_speed_kmh,wind_direction_deg,wind_gust_kmh,precipitation_mm,precipitation_type,cloud_cover_pct,visibility_km,uv_index,is_thunderstorm,weather_condition,road_surface,outdoor_suitability_score,umbrella_needed,clothing_recommendation,recommendation_headline,recommendation_text
OBS-0000001,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 00:00:00,2025-01-01,0,1,2,0,winter,-11.3,-6.2,-13.2,85.8,998.2,0.2,111,0.3,0.2,snow,94,20.1,0,0,snow,icy,0,0,winter_coat_scarf_gloves,Snowfall,Roads may be slippery — allow extra travel time. Wear winter coat scarf gloves (feels like -6.2°C). Wind chill below freezing — dress warmly.
OBS-0000002,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 01:00:00,2025-01-01,1,1,2,0,winter,-11.2,-10.1,-14.8,74.7,997.7,1.2,3,1.6,0.3,snow,88,11.9,0,0,snow,icy,0,0,heavy_winter_coat_gloves_hat,Snowfall,Roads may be slippery — allow extra travel time. Wear heavy winter coat gloves hat (feels like -10.1°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000003,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 02:00:00,2025-01-01,2,1,2,0,winter,-10.9,-16.1,-12.7,86.7,1003.1,9.4,309,14.7,0.2,snow,66,6.1,0,0,snow,icy,0,0,heavy_winter_coat_gloves_hat,Snowfall,Roads may be slippery — allow extra travel time. Wear heavy winter coat gloves hat (feels like -16.1°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000004,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 03:00:00,2025-01-01,3,1,2,0,winter,-8.4,-15.9,-14.2,62.8,1001.1,20.4,316,35.3,0.1,snow,78,6.7,0,0,snow,icy,0,0,heavy_winter_coat_gloves_hat,Snowfall,Roads may be slippery — allow extra travel time. Wear heavy winter coat gloves hat (feels like -15.9°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000005,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 04:00:00,2025-01-01,4,1,2,0,winter,-9.1,-15.9,-10.8,87.1,993.9,16.1,232,24.1,0.4,snow,65,14.1,0,0,snow,icy,0,0,heavy_winter_coat_gloves_hat,Snowfall,Roads may be slippery — allow extra travel time. Wear heavy winter coat gloves hat (feels like -15.9°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000006,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 05:00:00,2025-01-01,5,1,2,0,winter,-7.3,-12.9,-8.3,92.8,993.9,13.0,87,25.2,0.3,snow,64,11.7,0,0,snow,icy,0,0,heavy_winter_coat_gloves_hat,Snowfall,Roads may be slippery — allow extra travel time. Wear heavy winter coat gloves hat (feels like -12.9°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000007,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 06:00:00,2025-01-01,6,1,2,0,winter,-6.3,-12.2,-8.5,84.1,990.4,15.0,117,22.8,0.5,snow,74,25.1,0,0,snow,icy,0,0,heavy_winter_coat_gloves_hat,Snowfall,Roads may be slippery — allow extra travel time. Wear heavy winter coat gloves hat (feels like -12.2°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000008,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 07:00:00,2025-01-01,7,1,2,0,winter,-3.2,-6.4,-6.2,79.9,988.8,7.7,255,10.8,0.3,snow,80,11.6,0.2,0,snow,icy,0,0,winter_coat_scarf_gloves,Snowfall,Roads may be slippery — allow extra travel time. Wear winter coat scarf gloves (feels like -6.4°C). Wind chill below freezing — dress warmly.
OBS-0000009,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 08:00:00,2025-01-01,8,1,2,0,winter,-2.6,-4.6,-5.6,79.6,1000.5,5.2,185,8.4,0.1,snow,76,29.9,0.4,0,snow,icy,2,0,winter_coat_scarf_gloves,Snowfall,Roads may be slippery — allow extra travel time. Wear winter coat scarf gloves (feels like -4.6°C). Wind chill below freezing — dress warmly.
OBS-0000010,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 09:00:00,2025-01-01,9,1,2,0,winter,-2.4,-3.2,-8.3,63.8,996.0,3.2,348,5.2,0.3,snow,100,29.9,0.3,0,snow,icy,2,0,winter_coat_scarf_gloves,Snowfall,Roads may be slippery — allow extra travel time. Wear winter coat scarf gloves (feels like -3.2°C). Wind chill below freezing — dress warmly.
